Title,Rating,Video Link,Muscle Group,Equipment
Bent Over Two-Dumbbell Row,8.3,https://www.bodybuilding.com/exercises/detail/view/name/bent-over-two-dumbbell-row,Middle Back,Dumbbell
Bent Over Two-Dumbbell Row With Palms In,8.8,https://www.bodybuilding.com/exercises/detail/view/name/bent-over-two-dumbbell-row-with-palms-in,Middle Back,Dumbbell
Bent-Arm Dumbbell Pullover,8.2,https://www.bodybuilding.com/exercises/detail/view/name/bent-arm-dumbbell-pullover,Chest,Dumbbell
Bent-Knee Hip Raise,8.1,https://www.bodybuilding.com/exercises/detail/view/name/bent-knee-hip-raise,Abdominals,Body Only
Biceps Curl To Shoulder Press,9.1,https://www.bodybuilding.com/exercises/detail/view/name/biceps-curl-to-shoulder-press,Biceps,Dumbbell
Bicycling,8.9,https://www.bodybuilding.com/exercises/detail/view/name/bicycling,Quadriceps,Other
Body Tricep Press,8.2,https://www.bodybuilding.com/exercises/detail/view/name/body-tricep-press,Triceps,Body Only
Bodyweight Flyes,9,https://www.bodybuilding.com/exercises/detail/view/name/bodyweight-flyes,Chest,E-Z Curl Bar
Bodyweight Lunge,9,https://www.bodybuilding.com/exercises/detail/view/name/bodyweight-lunge,Quadriceps,Body Only
Bodyweight Mid Row,8.8,https://www.bodybuilding.com/exercises/detail/view/name/bodyweight-mid-row,Middle Back,Other
Bodyweight Reverse Lunge,8.3,https://www.bodybuilding.com/exercises/detail/view/name/bodyweight-reverse-lunge,Quadriceps,Body Only
Bodyweight Squat,8.8,https://www.bodybuilding.com/exercises/detail/view/name/bodyweight-squat,Quadriceps,Body Only
Bosu Ball Cable Crunch With Side Bends,8.5,https://www.bodybuilding.com/exercises/detail/view/name/bosu-ball-cable-crunch-with-side-bends,Abdominals,Cable
Bottoms Up,9.3,https://www.bodybuilding.com/exercises/detail/view/name/bottoms-up,Abdominals,Body Only
Bottoms-Up Clean From The Hang Position,8.3,https://www.bodybuilding.com/exercises/detail/view/name/bottoms-up-clean-from-the-hang-position,Forearms,Kettlebells
Box Jump (Multiple Response),8.1,https://www.bodybuilding.com/exercises/detail/view/name/box-jump-multiple-response,Hamstrings,Other
Box Squat,9.3,https://www.bodybuilding.com/exercises/detail/view/name/box-squat,Quadriceps,Barbell
Box Squat with Bands,9,https://www.bodybuilding.com/exercises/detail/view/name/box-squat-with-bands,Quadriceps,Barbell
Bradford/Rocky Presses,8.2,https://www.bodybuilding.com/exercises/detail/view/name/bradfordrocky-presses,Shoulders,Barbell
Burpee,8.8,https://www.bodybuilding.com/exercises/detail/view/name/burpee,Quadriceps,Body Only
Butt Kicks,8.2,https://www.bodybuilding.com/exercises/detail/view/name/butt-kicks,Quadriceps,Body Only
Butt Lift (Bridge),8.8,https://www.bodybuilding.com/exercises/detail/view/name/butt-lift-bridge,Glutes,Body Only
Butt-Ups,8.3,https://www.bodybuilding.com/exercises/detail/view/name/butt-ups,Abdominals,Body Only
Butterfly,8.5,https://www.bodybuilding.com/exercises/detail/view/name/butterfly,Chest,Machine
Cable Chest Press,8.7,https://www.bodybuilding.com/exercises/detail/view/name/cable-chest-press,Chest,Cable
Cable Crossover,8.8,https://www.bodybuilding.com/exercises/detail/view/name/cable-crossover,Chest,Cable
Cable Crunch,8.9,https://www.bodybuilding.com/exercises/detail/view/name/cable-crunch,Abdominals,Cable
Cable Hammer Curls - Rope Attachment,8.2,https://www.bodybuilding.com/exercises/detail/view/name/cable-hammer-curls-rope-attachment,Biceps,Cable
Cable Hip Adduction,8.2,https://www.bodybuilding.com/exercises/detail/view/name/cable-hip-adduction,Quadriceps,Cable
Cable Internal Rotation,8.6,https://www.bodybuilding.com/exercises/detail/view/name/cable-internal-rotation,Shoulders,Cable
Cable Iron Cross,8.4,https://www.bodybuilding.com/exercises/detail/view/name/cable-iron-cross,Chest,Cable
Cable Lying Triceps Extension,8.6,https://www.bodybuilding.com/exercises/detail/view/name/cable-lying-triceps-extension,Triceps,Cable
Cable One Arm Tricep Extension,8.9,https://www.bodybuilding.com/exercises/detail/view/name/cable-one-arm-tricep-extension,Triceps,Cable
Cable Rear Delt Fly,8.2,https://www.bodybuilding.com/exercises/detail/view/name/cable-rear-delt-fly,Shoulders,Cable
